"Algo","ResultId","Time(sec)","TourCost","AWDfromVTX1","MinAWD","DelEdgeP"
"two_opt","1","2.202","10713.841","5404.082",NA,"98.9"
"two_opt","2","2.132","10639.835","5300.537",NA,"98.6"
"two_opt","3","2.138","10686.762","5395.389",NA,"98.3"
"two_opt","4","2.093","10797.748","5263.015",NA,"99.2"
"two_opt","5","2.177","10721.5","5343.544",NA,"98.8"
"two_opt","6","2.108","10918.403","5615.536",NA,"98.5"
"two_opt","7","2.168","10717.506","5407.592",NA,"98.9"
"two_opt","8","2.312","10759.722","5396.305",NA,"99.2"
"two_opt","9","2.28","10725.472","5293.692",NA,"99.2"
"two_opt","10","2.286","10714.465","5347.598",NA,"99.1"
"two_opt","11","2.21","10683.696","5322.55",NA,"98.1"
"two_opt","12","2.291","10867.02","5524.481",NA,"98.6"
"two_opt","13","2.234","10827.148","5501.901",NA,"99.2"
"two_opt","14","2.166","10609.976","5335.699",NA,"98.3"
"two_opt","15","2.077","10727.405","5408.512",NA,"98.7"
"two_opt","16","2.187","10843.868","5502.566",NA,"98.4"
"two_opt","17","2.108","10629.819","5258.671",NA,"99"
"two_opt","18","2.387","10736.766","5382.571",NA,"98.2"
"two_opt","19","2.179","10618.698","5307.888",NA,"99.3"
"two_opt","20","2.083","10669.775","5296.219",NA,"99.1"
"two_opt","AVG","2.191","10730.471","5380.417",NA,"98.78"
"two_opt","STD","0.085","84.463","94.848",NA,"0.385"
