"Algo","ResultId","Time(sec)","TourCost","AWDfromVTX1","MinAWD","DelEdgeP"
"farthest_insertion","1","22.438","20507.131","10249.589",NA,"99.55"
"farthest_insertion","2","20.446","20537.052","10270.424",NA,"99.4"
"farthest_insertion","3","20.495","20522.1","10264.769",NA,"99.5"
"farthest_insertion","4","20.269","20537.057","10269.123",NA,"99.4"
"farthest_insertion","5","20.42","20596.912","10312.614",NA,"99.1"
"farthest_insertion","6","20.185","20529.598","10278.416",NA,"99.5"
"farthest_insertion","7","22.162","20492.185","10247.579",NA,"99.7"
"farthest_insertion","8","20.352","20492.179","10253.833",NA,"99.65"
"farthest_insertion","9","20.493","20484.7","10255.697",NA,"99.7"
"farthest_insertion","10","20.233","20552.042","10281.686",NA,"99.4"
"farthest_insertion","11","20.324","20596.926","10292.337",NA,"99"
"farthest_insertion","12","19.78","20529.574","10286.487",NA,"99.5"
"farthest_insertion","13","19.887","20507.117","10250.806",NA,"99.65"
"farthest_insertion","14","19.984","20514.628","10273.517",NA,"99.6"
"farthest_insertion","15","20.372","20529.571","10276.242",NA,"99.4"
"farthest_insertion","16","20.492","20552.025","10284.823",NA,"99.25"
"farthest_insertion","17","19.966","20537.053","10278.603",NA,"99.4"
"farthest_insertion","18","19.686","20552.014","10284.632",NA,"99.3"
"farthest_insertion","19","19.823","20566.987","10285.335",NA,"99.25"
"farthest_insertion","20","19.751","20559.507","10282.668",NA,"99.3"
"farthest_insertion","AVG","20.378","20534.818","10273.959",NA,"99.427"
"farthest_insertion","STD","0.713","31.283","16.571",NA,"0.192"
