"Algo","ResultId","Time(sec)","TourCost","AWDfromVTX1","MinAWD","DelEdgeP"
"nn","1","0.31","21263.136","10997.933",NA,"99.75"
"nn","2","0.214","21201.619","10461.606",NA,"99.7"
"nn","3","0.209","21422.947","10419.573",NA,"99.6"
"nn","4","0.119","21230.666","10626.463",NA,"99.55"
"nn","5","0.122","21501.031","10778.295",NA,"99.6"
"nn","6","0.219","21183.659","10810.981",NA,"99.7"
"nn","7","0.135","21441.4","11115.897",NA,"99.7"
"nn","8","0.212","21727.75","11413.225",NA,"99.4"
"nn","9","0.13","21272.193","10361.322",NA,"99.65"
"nn","10","0.21","21487.58","11082.464",NA,"99.65"
"nn","11","0.125","21436.738","11031.646",NA,"99.55"
"nn","12","0.205","21381.406","11085.941",NA,"99.3"
"nn","13","0.131","21172.222","10591.376",NA,"99.6"
"nn","14","0.222","21210.951","10259.193",NA,"99.7"
"nn","15","0.221","21633.642","11322.922",NA,"99.75"
"nn","16","0.221","21186.434","10902.342",NA,"99.8"
"nn","17","0.219","21222.513","10769.942",NA,"99.75"
"nn","18","0.129","21564.4","11164.483",NA,"99.7"
"nn","19","0.214","21558.53","10366.17",NA,"99.8"
"nn","20","0.214","21198.944","10827.812",NA,"99.85"
"nn","AVG","0.189","21364.888","10819.479",NA,"99.655"
"nn","STD","0.051","172.654","336.207",NA,"0.134"
