"Algo","ResultId","Time(sec)","TourCost","AWDfromVTX1","MinAWD","DelEdgeP"
"nn","1","0.134","12363.791","6594.213",NA,"90.7"
"nn","2","0.135","12018.692","6132.089",NA,"91.7"
"nn","3","0.036","12266.341","5579.888",NA,"91"
"nn","4","0.041","12016.573","5503.242",NA,"90.9"
"nn","5","0.036","12378.861","6400.004",NA,"91.2"
"nn","6","0.126","12703.446","5548.943",NA,"90.4"
"nn","7","0.04","12432.41","6545.078",NA,"90.7"
"nn","8","0.039","12304.825","5412.088",NA,"90.3"
"nn","9","0.034","12009.115","5820.858",NA,"90.9"
"nn","10","0.036","12292.746","6438.991",NA,"91.7"
"nn","11","0.037","12495.88","5735.014",NA,"90.6"
"nn","12","0.122","12215.102","6279.168",NA,"91.1"
"nn","13","0.034","12362.062","5774.577",NA,"91.2"
"nn","14","0.042","11960.75","5659.111",NA,"91.7"
"nn","15","0.035","12210.393","6380.744",NA,"90.3"
"nn","16","0.039","11924.914","5701.436",NA,"91.6"
"nn","17","0.128","12261.725","6055.735",NA,"90.7"
"nn","18","0.033","12135.187","5713.447",NA,"90.8"
"nn","19","0.039","12111.952","6131.369",NA,"91"
"nn","20","0.035","12036.574","5559.734",NA,"91.1"
"nn","AVG","0.06","12225.067","5948.286",NA,"90.98"
"nn","STD","0.041","201.337","385.044",NA,"0.444"
