"Algo","ResultId","Time(sec)","TourCost","AWDfromVTX1","MinAWD","DelEdgeP"
"farthest_insertion","1","22.429","21322.926","10679.512",NA,"91.6"
"farthest_insertion","2","20.59","21267.362","10602.487",NA,"92.05"
"farthest_insertion","3","20.45","21217.788","10624.121",NA,"92.8"
"farthest_insertion","4","20.237","21333.636","10651.446",NA,"91.6"
"farthest_insertion","5","21.727","21184.519","10618.925",NA,"93.05"
"farthest_insertion","6","20.211","21208.727","10627.4",NA,"92.8"
"farthest_insertion","7","20.286","21314.641","10667.775",NA,"92.45"
"farthest_insertion","8","20.425","21305.712","10662.071",NA,"92.35"
"farthest_insertion","9","20.285","21225.809","10627.721",NA,"93.2"
"farthest_insertion","10","20.298","21275.646","10665.313",NA,"92.5"
"farthest_insertion","11","20.504","21293.996","10660.517",NA,"92.75"
"farthest_insertion","12","19.692","21267.494","10632.505",NA,"92.1"
"farthest_insertion","13","19.696","21279.723","10614.574",NA,"92.55"
"farthest_insertion","14","19.739","21186.301","10579.194",NA,"92.6"
"farthest_insertion","15","19.606","21275.646","10629.428",NA,"92.6"
"farthest_insertion","16","20.453","21298.204","10639.104",NA,"91.65"
"farthest_insertion","17","20.594","21271.57","10638.39",NA,"91.75"
"farthest_insertion","18","19.645","21201.088","10608.16",NA,"92.75"
"farthest_insertion","19","19.695","21225.941","10637.646",NA,"93.5"
"farthest_insertion","20","19.581","21163.874","10579.24",NA,"92.9"
"farthest_insertion","AVG","20.307","21256.03","10632.276",NA,"92.477"
"farthest_insertion","STD","0.714","50.503","27.586",NA,"0.541"
