"Algo","ResultId","Time(sec)","TourCost","AWDfromVTX1","MinAWD","DelEdgeP"
"two_opt","1","134.983","32310.872","16144.008",NA,"92.033"
"two_opt","2","130.532","32292.687","16111.361",NA,"91.533"
"two_opt","3","129.431","32295.229","16033.607",NA,"91.833"
"two_opt","4","170.686","32401.943","16221.628",NA,"90.533"
"two_opt","5","176.67","32150.175","16154.05",NA,"91.267"
"two_opt","6","135.61","32315.481","16145.849",NA,"91.067"
"two_opt","7","130.211","32182.414","16183.519",NA,"91.733"
"two_opt","8","131.831","32127.887","16055.281",NA,"91.5"
"two_opt","9","132.093","32183.457","16054.375",NA,"92.5"
"two_opt","10","131.303","32278.633","16187.404",NA,"91.533"
"two_opt","11","133.116","31929.951","15943.852",NA,"92.867"
"two_opt","12","188.459","32342.602","16060.239",NA,"92.167"
"two_opt","13","195.998","32453.419","16254.423",NA,"91.667"
"two_opt","14","135.299","32282.871","16245.427",NA,"92.167"
"two_opt","15","137.059","32314.273","15999.317",NA,"92.533"
"two_opt","16","135.85","32429.961","16267.591",NA,"91.233"
"two_opt","17","196.879","32315.071","16105.855",NA,"91.8"
"two_opt","18","173.85","32194.101","16154.023",NA,"91.8"
"two_opt","19","177.032","32287.613","16138.271",NA,"91.567"
"two_opt","20","190.657","32426.851","16323.868",NA,"91.9"
"two_opt","AVG","153.377","32275.774","16139.197",NA,"91.762"
"two_opt","STD","26.31","122.772","96.784",NA,"0.539"
