"Algo","ResultId","Time(sec)","TourCost","AWDfromVTX1","MinAWD","DelEdgeP"
"farthest_insertion","1","3.295","11084.902","5522.897",NA,"97.5"
"farthest_insertion","2","3.114","11073.688","5574.292",NA,"97.3"
"farthest_insertion","3","3.063","11178.054","5641.81",NA,"97.4"
"farthest_insertion","4","3.092","11189.845","5582.015",NA,"96.7"
"farthest_insertion","5","3.072","11022.987","5538.712",NA,"97.6"
"farthest_insertion","6","3.029","11151.237","5589.484",NA,"97.1"
"farthest_insertion","7","3.059","11011.692","5489.717",NA,"97.4"
"farthest_insertion","8","3.049","11108.533","5553.973",NA,"97"
"farthest_insertion","9","3.056","11110.085","5572.402",NA,"97.4"
"farthest_insertion","10","3.056","11118.95","5605.174",NA,"97.2"
"farthest_insertion","11","3.052","11077.381","5508.068",NA,"96.9"
"farthest_insertion","12","3.041","11146.794","5535.066",NA,"96.6"
"farthest_insertion","13","3.031","11036.502","5566.585",NA,"97"
"farthest_insertion","14","3.05","11160.855","5601.55",NA,"96.3"
"farthest_insertion","15","3.041","11140.566","5602.053",NA,"97"
"farthest_insertion","16","3.071","11032.454","5522.435",NA,"97.8"
"farthest_insertion","17","3.085","10962.329","5458.67",NA,"98.1"
"farthest_insertion","18","3.051","11025.896","5479.216",NA,"97.4"
"farthest_insertion","19","3.055","11050.574","5541.631",NA,"97.4"
"farthest_insertion","20","3.074","11167.283","5560.931",NA,"96.3"
"farthest_insertion","AVG","3.072","11092.53","5552.334",NA,"97.17"
"farthest_insertion","STD","0.056","64.448","46.722",NA,"0.462"
