"Algo","ResultId","Time(sec)","TourCost","AWDfromVTX1","MinAWD","DelEdgeP"
"nn","1","0.13","12897.557","6933.031",NA,"93"
"nn","2","0.133","12938.576","6492.139",NA,"93.4"
"nn","3","0.035","12967.386","6495.413",NA,"92.7"
"nn","4","0.038","12885.319","6649.083",NA,"93.5"
"nn","5","0.035","12517.377","6554.216",NA,"93"
"nn","6","0.032","12830.298","5995.268",NA,"93.8"
"nn","7","0.121","12831.76","6925.901",NA,"93.8"
"nn","8","0.033","12956.474","6736.645",NA,"93.4"
"nn","9","0.029","12669.931","6417.866",NA,"93.1"
"nn","10","0.033","12886.386","6938.807",NA,"93.1"
"nn","11","0.036","12721.65","6135.912",NA,"93.7"
"nn","12","0.032","12479.212","6059.404",NA,"93.7"
"nn","13","0.034","12765.267","6587.31",NA,"93.4"
"nn","14","0.032","12907.794","6341.124",NA,"93.5"
"nn","15","0.124","12899.369","6608.579",NA,"92.6"
"nn","16","0.031","12861.411","6239.972",NA,"93.2"
"nn","17","0.033","12948.362","6494.882",NA,"92.4"
"nn","18","0.031","12649.218","6667.73",NA,"93.5"
"nn","19","0.031","12619.539","6683.869",NA,"93"
"nn","20","0.038","12743.32","6076.363",NA,"93.9"
"nn","AVG","0.052","12798.81","6501.676",NA,"93.285"
"nn","STD","0.039","147.023","288.785",NA,"0.42"
