"Algo","ResultId","Time(sec)","TourCost","AWDfromVTX1","MinAWD","DelEdgeP"
"two_opt","1","2.229","11280.163","5594.416",NA,"97.7"
"two_opt","2","2.46","11226.878","5584.079",NA,"97.8"
"two_opt","3","2.039","11015.616","5464.513",NA,"97.8"
"two_opt","4","2.161","11398.967","5857.339",NA,"97.2"
"two_opt","5","2.285","11113.266","5497.563",NA,"97.7"
"two_opt","6","2.229","11283.989","5620.406",NA,"96.8"
"two_opt","7","2.428","11365.743","5677.262",NA,"96.6"
"two_opt","8","2.352","11254.528","5654.675",NA,"96.3"
"two_opt","9","2.075","11206.129","5631.547",NA,"97.6"
"two_opt","10","2.307","11238.035","5519.376",NA,"97.8"
"two_opt","11","2.277","11273.115","5657.699",NA,"97.5"
"two_opt","12","2.318","11140.216","5631.539",NA,"97.2"
"two_opt","13","2.372","11335.738","5781.549",NA,"97.3"
"two_opt","14","2.365","11201.111","5625.473",NA,"97.4"
"two_opt","15","2.251","11101.636","5654.356",NA,"98.3"
"two_opt","16","2.349","11230.989","5557.087",NA,"98.1"
"two_opt","17","2.397","11229.431","5532.482",NA,"96.9"
"two_opt","18","2.448","11330.462","5643.339",NA,"96.8"
"two_opt","19","2.401","11154.695","5582.228",NA,"96.4"
"two_opt","20","2.349","11282.167","5677.047",NA,"97.8"
"two_opt","AVG","2.305","11233.144","5622.199",NA,"97.35"
"two_opt","STD","0.115","94.574","91.13",NA,"0.563"
