"Algo","ResultId","Time(sec)","TourCost","AWDfromVTX1","MinAWD","DelEdgeP"
"farthest_insertion","1","3.39","11356.838","5698.899",NA,"96"
"farthest_insertion","2","3.16","11410.915","5740.416",NA,"94.2"
"farthest_insertion","3","3.091","11351.981","5681.655",NA,"95"
"farthest_insertion","4","3.03","11386.505","5707.525",NA,"95"
"farthest_insertion","5","3.045","11150.677","5577.152",NA,"94.9"
"farthest_insertion","6","3.016","11275.246","5618.384",NA,"95.2"
"farthest_insertion","7","3.093","11368.646","5677.943",NA,"95.5"
"farthest_insertion","8","3.114","11387.646","5703.114",NA,"94.6"
"farthest_insertion","9","3.121","11287.356","5663.544",NA,"96.1"
"farthest_insertion","10","3.157","11305.444","5654.027",NA,"96.4"
"farthest_insertion","11","3.08","11418.281","5713.254",NA,"94.1"
"farthest_insertion","12","3.026","11212.798","5616.898",NA,"95.8"
"farthest_insertion","13","3.034","11405.833","5701.79",NA,"94.4"
"farthest_insertion","14","3.034","11270.547","5594.13",NA,"95.7"
"farthest_insertion","15","3.008","11329.269","5682.112",NA,"94.9"
"farthest_insertion","16","3.097","11351.27","5694.227",NA,"95.2"
"farthest_insertion","17","3.083","11283.662","5646.544",NA,"95.2"
"farthest_insertion","18","3.1","11233.192","5603.073",NA,"96.1"
"farthest_insertion","19","3.109","11348.515","5694.936",NA,"96.3"
"farthest_insertion","20","3.065","11354.543","5690.887",NA,"94.8"
"farthest_insertion","AVG","3.093","11324.458","5668.025",NA,"95.27"
"farthest_insertion","STD","0.083","71.25","44.886",NA,"0.694"
