"Algo","ResultId","Time(sec)","TourCost","AWDfromVTX1","MinAWD","DelEdgeP"
"two_opt","1","2.153","11669.021","5892.107",NA,"95"
"two_opt","2","2.278","11787.231","5711.962",NA,"94.1"
"two_opt","3","2.252","11578.373","5888.374",NA,"95.3"
"two_opt","4","2.227","11659.809","5815.35",NA,"95.9"
"two_opt","5","2.23","11539.937","5739.054",NA,"95"
"two_opt","6","2.184","11609.967","5927.779",NA,"95.8"
"two_opt","7","2.336","11423.187","5726.621",NA,"96.2"
"two_opt","8","2.234","11624.985","5809.357",NA,"93.3"
"two_opt","9","2.401","11471.688","5733.813",NA,"94.3"
"two_opt","10","2.227","11550.529","5736.748",NA,"94.1"
"two_opt","11","2.225","11477.44","5737.972",NA,"95.4"
"two_opt","12","2.175","11631.375","5799.154",NA,"94"
"two_opt","13","2.113","11730.705","5732.224",NA,"94.4"
"two_opt","14","2.166","11580.784","5791.693",NA,"93.6"
"two_opt","15","2.142","11533.527","5789.047",NA,"96.3"
"two_opt","16","2.103","11693.232","5966.493",NA,"95"
"two_opt","17","2.32","11568.571","5800.975",NA,"94.1"
"two_opt","18","2.124","11707.578","6005.523",NA,"95.4"
"two_opt","19","2.191","11459.616","5780.498",NA,"94.5"
"two_opt","20","2.178","11660.431","5817.032",NA,"94.1"
"two_opt","AVG","2.213","11597.899","5810.089",NA,"94.79"
"two_opt","STD","0.077","97.541","84.418",NA,"0.867"
