"Algo","ResultId","Time(sec)","TourCost","AWDfromVTX1","MinAWD","DelEdgeP"
"nn","1","0.554","38849.614","20406.544",NA,"91.433"
"nn","2","0.36","38306.658","19648.921",NA,"90.7"
"nn","3","0.35","38886.882","18033.982",NA,"91.033"
"nn","4","0.364","39567.274","20441.918",NA,"91.433"
"nn","5","0.366","38933.458","20742.296",NA,"91"
"nn","6","0.361","37945.73","18569.656",NA,"91.533"
"nn","7","0.365","38325.476","18604.786",NA,"90.867"
"nn","8","0.292","38433.597","20669.302",NA,"91.567"
"nn","9","0.357","38206.378","18867.725",NA,"91.2"
"nn","10","0.365","38936.87","19431.538",NA,"91.167"
"nn","11","0.364","38289.859","18707.288",NA,"91.367"
"nn","12","0.372","38459.547","20136.318",NA,"91"
"nn","13","0.364","38522.205","20548.933",NA,"91.233"
"nn","14","0.359","39039.877","20956.883",NA,"90.867"
"nn","15","0.276","38565.494","19053.686",NA,"90.767"
"nn","16","0.371","38910.126","18182.979",NA,"90.733"
"nn","17","0.359","38234.742","18542.586",NA,"91.2"
"nn","18","0.361","38947.185","19474.968",NA,"91.1"
"nn","19","0.363","38733.679","20164.355",NA,"91"
"nn","20","0.37","39131.208","20448.126",NA,"90.9"
"nn","AVG","0.365","38661.293","19581.639",NA,"91.105"
"nn","STD","0.051","395.282","950.802",NA,"0.265"
