GridType, Algo, NBoat, Cost, AWD, NCharging, NCS, Time, BtPosFName, BPerm, SPath 
tri, clookRedGray, 11, 300152.074, 134740.405, 17, 25, 0.315, boatPos-0001.csv, B11-B5-B6-B7-B9-B4-B3-B10-B8-B2-B1, --BS1->10->B11--B11->10->B5--B5->8->14->B6--B6->18->B7--B7->18->B9--B9->14->17->B4--B4->17->B3--B3->17->B10->20--20->B8--B8->24->B2--B2->22->19->B1--B1->16->13->7->BS1 
tri, clookGray, 11, 342175.319, 142387.006, 21, 25, 0.063, boatPos-0001.csv, B11-B5-B6-B7-B9-B4-B3-B10-B8-B2-B1, --BS1->10->B11--B11->10->B5--B5->8->14->B6--B6->18->B7--B7->18->B9--B9->18->21->17->B4--B4->17->B3--B3->17->20->B10--B10->20->B8--B8->24->B2--B2->24->22->19->B1--B1->19->16->13->7->BS1 
tri, concaveTSPRedGray, 11, 299314.585, 131642.688, 17, 25, 0.09, boatPos-0001.csv, B11-B5-B4-B6-B9-B7-B3-B10-B8-B2-B1, --BS1->10->B11--B11->10->B5--B5->10->B4--B4->17->14->B6--B6->18->B9--B9->18->B7--B7->14->17->B3--B3->17->B10->20--20->B8--B8->24->B2--B2->22->19->B1--B1->16->13->7->BS1 
tri, concaveTSPGray, 11, 343550.448, 139441.518, 21, 25, 0.059, boatPos-0001.csv, B11-B5-B4-B6-B9-B7-B3-B10-B8-B2-B1, --BS1->10->B11--B11->10->B5--B5->10->B4--B4->17->14->B6--B6->18->B9--B9->18->B7--B7->18->21->17->B3--B3->17->20->B10--B10->20->B8--B8->24->B2--B2->24->22->19->B1--B1->19->16->13->7->BS1 
tri, xTSPRedGray-nearest_insertion, 11, 299753.231, 136852.699, 17, 25, 0.132, boatPos-0001.csv, B11-B5-B6-B9-B7-B4-B10-B8-B2-B1-B3, --BS1->10->B11--B11->10->B5--B5->8->14->B6--B6->18->B9--B9->18->B7--B7->14->17->B4--B4->17->B10->20--20->B8--B8->24->B2--B2->22->19->B1--B1->16->13->B3--B3->13->7->BS1 
tri, xTSPGray-nearest_insertion, 11, 343989.094, 148672.971, 21, 25, 0.049, boatPos-0001.csv, B11-B5-B6-B9-B7-B4-B10-B8-B2-B1-B3, --BS1->10->B11--B11->10->B5--B5->8->14->B6--B6->18->B9--B9->18->B7--B7->18->21->17->B4--B4->17->20->B10--B10->20->B8--B8->24->B2--B2->24->22->19->B1--B1->19->16->13->B3--B3->13->7->BS1 
tri, xTSPRedGray-farthest_insertion, 11, 306366.014, 136435.54, 18, 25, 0.062, boatPos-0001.csv, B3-B4-B11-B5-B6-B9-B7-B10-B8-B2-B1, --BS1->7->13->B3--B3->17->B4--B4->10->B11--B11->10->B5--B5->8->14->B6--B6->18->B9--B9->18->B7--B7->14->17->B10->20--20->B8--B8->24->B2--B2->22->19->B1--B1->16->13->7->BS1 
tri, xTSPGray-farthest_insertion, 11, 342175.319, 142171.21, 21, 25, 0.05, boatPos-0001.csv, B11-B5-B6-B9-B7-B4-B3-B10-B8-B2-B1, --BS1->10->B11--B11->10->B5--B5->8->14->B6--B6->18->B9--B9->18->B7--B7->18->21->17->B4--B4->17->B3--B3->17->20->B10--B10->20->B8--B8->24->B2--B2->24->22->19->B1--B1->19->16->13->7->BS1 
tri, xTSPRedGray-cheapest_insertion, 11, 316165.262, 145994.53, 18, 25, 0.058, boatPos-0001.csv, B11-B5-B6-B9-B7-B4-B8-B2-B1-B10-B3, --BS1->10->B11--B11->10->B5--B5->8->14->B6--B6->18->B9--B9->18->B7--B7->14->17->B4--B4->17->20->B8--B8->24->B2--B2->22->19->B1--B1->16->20->B10--B10->17->B3--B3->13->7->BS1 
tri, xTSPGray-cheapest_insertion, 11, 343989.094, 148672.971, 21, 25, 0.052, boatPos-0001.csv, B11-B5-B6-B9-B7-B4-B10-B8-B2-B1-B3, --BS1->10->B11--B11->10->B5--B5->8->14->B6--B6->18->B9--B9->18->B7--B7->18->21->17->B4--B4->17->20->B10--B10->20->B8--B8->24->B2--B2->24->22->19->B1--B1->19->16->13->B3--B3->13->7->BS1 
tri, xTSPRedGray-arbitrary_insertion, 11, 299248.805, 140355.991, 17, 25, 0.057, boatPos-0001.csv, B7-B9-B6-B5-B11-B4-B3-B10-B8-B2-B1, --BS1->10->14->B7->18--18->B9--B9->18->B6--B6->14->8->B5--B5->10->B11--B11->10->B4--B4->17->B3--B3->17->B10->20--20->B8--B8->24->B2--B2->22->19->B1--B1->16->13->7->BS1 
